pair,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
AUDUSD,short,2019-10-10,2019-10-18,0.671817,0.682547,-0.015972,8,stop
AUDUSD,long,2019-10-30,2019-11-15,0.685589,0.678831,-0.009857,16,stop
AUDUSD,short,2019-12-09,2019-12-12,0.683532,0.687049,-0.005146,3,stop
AUDUSD,long,2019-12-23,2020-01-08,0.690390,0.686040,-0.006301,16,stop
AUDUSD,short,2020-01-30,2020-04-09,0.675219,0.623531,0.076551,70,stop
AUDUSD,long,2020-04-30,2020-09-23,0.655501,0.717443,0.094494,146,stop
AUDUSD,short,2020-10-05,2020-11-04,0.717721,0.719683,-0.002735,30,stop
AUDUSD,long,2020-11-18,2021-02-01,0.729600,0.761998,0.044405,75,stop
AUDUSD,short,2021-03-26,2021-04-15,0.759400,0.772510,-0.017263,20,stop
AUDUSD,long,2021-05-05,2021-06-04,0.771380,0.766577,-0.006226,30,stop
AUDUSD,short,2021-06-15,2021-09-03,0.771200,0.739930,0.040547,80,stop
AUDUSD,long,2021-09-24,2021-09-27,0.729980,0.726612,-0.004614,3,stop
AUDUSD,short,2021-09-30,2021-10-14,0.718000,0.738607,-0.028701,14,stop
AUDUSD,long,2021-10-20,2021-11-10,0.747719,0.737620,-0.013507,21,stop
AUDUSD,short,2021-11-26,2021-12-23,0.717370,0.721400,-0.005617,27,stop
AUDUSD,long,2022-01-14,2022-01-27,0.728226,0.712300,-0.021870,13,stop
AUDUSD,short,2022-02-03,2022-02-23,0.712080,0.722690,-0.014900,20,stop
AUDUSD,long,2022-03-04,2022-04-18,0.733700,0.739382,0.007745,45,stop
AUDUSD,short,2022-05-03,2022-05-30,0.705100,0.716281,-0.015858,27,stop
AUDUSD,long,2022-08-12,2022-08-31,0.710290,0.685740,-0.034563,19,stop
AUDUSD,short,2022-09-09,2022-11-08,0.676590,0.647480,0.043025,60,stop
AUDUSD,long,2022-11-21,2023-02-07,0.668208,0.688780,0.030787,78,stop
AUDUSD,short,2023-03-02,2023-04-04,0.675980,0.678850,-0.004246,33,stop
AUDUSD,long,2023-05-09,2023-05-18,0.678099,0.665562,-0.018489,9,reversal
AUDUSD,short,2023-05-18,2023-06-09,0.665562,0.671260,-0.008561,22,stop
AUDUSD,long,2023-06-22,2023-06-29,0.679870,0.660062,-0.029136,7,stop
AUDUSD,short,2023-08-10,2023-11-02,0.653680,0.642260,0.017471,84,stop
AUDUSD,long,2023-11-17,2024-01-12,0.647082,0.669850,0.035186,56,stop
AUDUSD,short,2024-01-29,2024-03-08,0.657860,0.662130,-0.006491,39,stop
AUDUSD,long,2024-03-22,2024-04-02,0.657419,0.648790,-0.013125,11,stop
AUDUSD,short,2024-04-16,2024-05-06,0.644250,0.660908,-0.025856,20,stop
AUDUSD,long,2024-05-16,2024-06-10,0.670107,0.658271,-0.017661,25,stop
AUDUSD,short,2024-08-05,2024-08-19,0.649722,0.667298,-0.027052,14,stop
AUDUSD,long,2024-09-02,2024-09-10,0.676800,0.665788,-0.016271,8,stop
USDCAD,long,2010-05-13,2010-06-10,1.021300,1.031000,0.009498,28,stop
USDCAD,short,2010-07-06,2010-07-16,1.053800,1.056900,-0.002942,10,reversal
USDCAD,long,2010-07-16,2010-07-26,1.056900,1.031800,-0.023749,10,stop
USDCAD,short,2010-07-28,2010-08-12,1.037890,1.047600,-0.009356,15,stop
USDCAD,long,2010-09-01,2010-09-13,1.064310,1.032100,-0.030264,12,stop
USDCAD,short,2010-09-27,2010-12-01,1.024340,1.025500,-0.001132,65,stop
USDCAD,long,2010-12-13,2010-12-15,1.010200,1.006120,-0.004039,2,reversal
USDCAD,short,2010-12-15,2011-01-31,1.006120,1.002300,0.003797,47,stop
