instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
COPPER,short,2013-03-04,2013-05-08,3.483000,3.371000,0.032156,65,stop
COPPER,long,2013-05-29,2013-06-07,3.291000,3.266000,-0.007596,9,stop
COPPER,short,2013-06-19,2013-07-11,3.143500,3.183500,-0.012725,22,stop
COPPER,long,2013-08-09,2013-08-29,3.308500,3.244000,-0.019495,20,stop
COPPER,short,2013-10-18,2013-10-22,3.293000,3.328500,-0.010780,4,stop
COPPER,long,2013-10-22,2013-10-28,3.328500,3.261000,-0.020279,6,reversal
COPPER,short,2013-10-28,2013-10-29,3.261000,3.275500,-0.004447,1,reversal
COPPER,long,2013-10-29,2013-11-04,3.275500,3.247500,-0.008548,6,stop
COPPER,short,2013-11-13,2013-12-04,3.164000,3.271500,-0.033976,21,stop
COPPER,long,2013-12-17,2014-01-09,3.367000,3.354000,-0.003861,23,stop
COPPER,short,2014-02-04,2014-02-14,3.217000,3.320500,-0.032173,10,stop
COPPER,long,2014-05-09,2014-06-04,3.100500,3.093500,-0.002258,26,stop
COPPER,short,2014-06-20,2014-06-23,3.117500,3.145500,-0.008982,3,stop
COPPER,long,2014-07-07,2014-07-18,3.248500,3.174000,-0.022934,11,stop
COPPER,short,2014-08-21,2014-08-25,3.172000,3.213500,-0.013083,4,stop
COPPER,long,2014-11-17,2014-11-18,3.049500,3.011000,-0.012625,1,stop
COPPER,short,2014-11-25,2015-02-18,2.961000,2.639500,0.108578,85,stop
COPPER,long,2015-03-10,2015-03-18,2.635000,2.587000,-0.018216,8,stop
COPPER,short,2015-06-11,2015-09-03,2.693000,2.390000,0.112514,84,stop
COPPER,long,2015-09-22,2015-09-23,2.307000,2.305500,-0.000650,1,stop
COPPER,short,2015-10-14,2015-10-15,2.420000,2.426000,-0.002479,1,stop
COPPER,long,2015-10-22,2015-10-29,2.384500,2.315500,-0.028937,7,stop
COPPER,short,2015-11-05,2015-12-11,2.253500,2.108000,0.064566,36,stop
COPPER,long,2016-02-18,2016-03-30,2.071500,2.187000,0.055757,41,stop
COPPER,short,2016-04-21,2016-04-22,2.252000,2.269000,-0.007549,1,stop
COPPER,long,2016-07-06,2016-08-04,2.151500,2.174000,0.010458,29,stop
