date,us_2y_pct,ca_2y_pct,rate_diff_pp,d_diff_pp,usdcad_close,usdcad_return,position,gross_return,cost,net_return,cum_gross,cum_net
2013-10-14,0.346000,1.206000,-0.860000,0.000000,1.036410,-0.004342,-1.000000,0.004342,0.000000,0.004342,4.405467,3.350266
2013-10-15,0.362100,1.226000,-0.863900,-0.003900,1.035100,-0.001264,0.000000,-0.000000,0.000242,-0.000242,4.405467,3.349457
2013-10-16,0.354000,1.227000,-0.873000,-0.009100,1.037250,0.002077,-1.000000,-0.002077,0.000241,-0.002318,4.396316,3.341693
2013-10-17,0.334000,1.172000,-0.838000,0.035000,1.032800,-0.004290,-1.000000,0.004290,0.000000,0.004290,4.415177,3.356029
2013-10-18,0.314000,1.170000,-0.856000,-0.018000,1.029900,-0.002808,1.000000,-0.002808,0.000485,-0.003293,4.402780,3.344977
2013-10-21,0.318600,1.188000,-0.869400,-0.013400,1.029460,-0.000427,-1.000000,0.000427,0.000486,-0.000058,4.404661,3.344781
2013-10-22,0.315000,1.173000,-0.858000,0.011400,1.030620,0.001127,-1.000000,-0.001127,0.000000,-0.001127,4.399697,3.341012
2013-10-23,0.294000,1.153000,-0.859000,-0.001000,1.029000,-0.001572,1.000000,-0.001572,0.000486,-0.002058,4.392782,3.334137
2013-10-24,0.311000,1.098000,-0.787000,0.072000,1.037900,0.008649,-1.000000,-0.008649,0.000482,-0.009131,4.354788,3.303694
2013-10-25,0.307000,1.086000,-0.779000,0.008000,1.041710,0.003671,1.000000,0.003671,0.000480,0.003191,4.370774,3.314236
2013-10-28,0.307100,1.088000,-0.780900,-0.001900,1.044100,0.002294,1.000000,0.002294,0.000000,0.002294,4.380802,3.321840
2013-10-29,0.307000,1.091000,-0.784000,-0.003100,1.044380,0.000268,-1.000000,-0.000268,0.000479,-0.000747,4.379628,3.319359
2013-10-30,0.317000,1.089000,-0.772000,0.012000,1.046900,0.002413,-1.000000,-0.002413,0.000000,-0.002413,4.369060,3.311349
2013-10-31,0.313000,1.094000,-0.781000,-0.009000,1.047800,0.000860,1.000000,0.000860,0.000477,0.000382,4.372816,3.312615
2013-11-01,0.309000,1.130000,-0.821000,-0.040000,1.042900,-0.004676,-1.000000,0.004676,0.000479,0.004197,4.393265,3.326519
2013-11-04,0.313100,1.117000,-0.803900,0.017100,1.041610,-0.001237,-1.000000,0.001237,0.000000,0.001237,4.398699,3.330633
2013-11-05,0.305000,1.128000,-0.823000,-0.019100,1.041970,0.000346,1.000000,0.000346,0.000480,-0.000134,4.400219,3.330186
2013-11-06,0.301000,1.123000,-0.822000,0.001000,1.045000,0.002908,-1.000000,-0.002908,0.000478,-0.003386,4.387424,3.318909
2013-11-07,0.293000,1.098000,-0.805000,0.017000,1.041920,-0.002947,1.000000,-0.002947,0.000480,-0.003427,4.374492,3.307534
2013-11-08,0.286000,1.124000,-0.838000,-0.033000,1.045240,0.003187,1.000000,0.003187,0.000000,0.003187,4.388432,3.318074
2013-11-11,0.286000,1.124000,-0.838000,0.000000,1.048470,0.003090,-1.000000,-0.003090,0.000477,-0.003567,4.374871,3.306238
2013-11-12,0.313800,1.134000,-0.820200,0.017800,1.046920,-0.001478,0.000000,-0.000000,0.000239,-0.000239,4.374871,3.305448
2013-11-13,0.330000,1.132000,-0.802000,0.018200,1.049090,0.002073,1.000000,0.002073,0.000238,0.001835,4.383939,3.311512
2013-11-14,0.306000,1.117000,-0.811000,-0.009000,1.044680,-0.004204,1.000000,-0.004204,0.000000,-0.004204,4.365511,3.297592
2013-11-15,0.294000,1.117000,-0.823000,-0.012000,1.046810,0.002039,-1.000000,-0.002039,0.000478,-0.002517,4.356610,3.289293
2013-11-18,0.294200,1.120000,-0.825800,-0.002800,1.043820,-0.002856,-1.000000,0.002856,0.000000,0.002856,4.369053,3.298688
2013-11-19,0.282000,1.125000,-0.843000,-0.017200,1.043280,-0.000517,-1.000000,0.000517,0.000000,0.000517,4.371314,3.300395
