date,eu_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,eurusd_close,eurusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2023-11-10,3.047227,5.040000,-1.992773,0.037190,1.066758,-0.004000,-1.000000,0.004000,0.000000,0.004000,53.762801,23.580928
2023-11-13,3.071335,5.020000,-1.948665,0.044108,1.069016,0.002117,1.000000,0.002117,0.000468,0.001649,53.876598,23.619811
2023-11-14,3.016240,4.800000,-1.783760,0.164906,1.070183,0.001092,1.000000,0.001092,0.000000,0.001092,53.935409,23.645595
2023-11-15,2.976736,4.900000,-1.923264,-0.139504,1.087831,0.016492,1.000000,0.016492,0.000000,0.016492,54.824886,24.035546
2023-11-16,2.938067,4.830000,-1.891933,0.031331,1.085458,-0.002182,-1.000000,0.002182,0.000461,0.001721,54.944498,24.076914
2023-11-17,2.925327,4.880000,-1.954673,-0.062741,1.085376,-0.000076,1.000000,-0.000076,0.000461,-0.000537,54.940323,24.063992
2023-11-20,2.971682,4.890000,-1.918318,0.036355,1.090703,0.004908,-1.000000,-0.004908,0.000458,-0.005366,54.670672,23.934853
2023-11-21,2.962313,4.860000,-1.897687,0.020632,1.094595,0.003568,1.000000,0.003568,0.000457,0.003112,54.865758,24.009329
2023-11-22,2.947773,4.890000,-1.942227,-0.044541,1.091822,-0.002533,1.000000,-0.002533,0.000000,-0.002533,54.726785,23.948514
2023-11-23,2.994134,4.890000,-1.895866,0.046362,1.089087,-0.002505,-1.000000,0.002505,0.000459,0.002046,54.863870,23.997508
2023-11-24,3.020717,4.920000,-1.899283,-0.003417,1.090631,0.001418,1.000000,0.001418,0.000458,0.000959,54.941657,24.020530
2023-11-27,2.974888,4.840000,-1.865112,0.034171,1.094044,0.003129,-1.000000,-0.003129,0.000457,-0.003586,54.769749,23.934394
2023-11-28,2.911321,4.730000,-1.818679,0.046433,1.095842,0.001644,1.000000,0.001644,0.000456,0.001188,54.859780,23.962817
2023-11-29,2.792300,4.640000,-1.847700,-0.029021,1.100594,0.004336,1.000000,0.004336,0.000000,0.004336,55.097675,24.066730
2023-11-30,2.806124,4.730000,-1.923876,-0.076176,1.097370,-0.002930,-1.000000,0.002930,0.000456,0.002474,55.259117,24.126282
2023-12-01,2.701837,4.560000,-1.858163,0.065713,1.089206,-0.007439,-1.000000,0.007439,0.000000,0.007439,55.670202,24.305763
2023-12-04,2.638227,4.640000,-2.001773,-0.143610,1.088815,-0.000359,1.000000,-0.000359,0.000459,-0.000819,55.650199,24.285868
2023-12-05,2.630427,4.570000,-1.939573,0.062200,1.083776,-0.004628,-1.000000,0.004628,0.000461,0.004166,55.907733,24.387052
2023-12-06,2.640028,4.600000,-1.959972,-0.020399,1.079366,-0.004069,1.000000,-0.004069,0.000463,-0.004532,55.680230,24.276518
2023-12-07,2.610962,4.580000,-1.969038,-0.009066,1.076670,-0.002498,-1.000000,0.002498,0.000464,0.002033,55.819308,24.325882
2023-12-08,2.687017,4.710000,-2.022983,-0.053945,1.079214,0.002363,-1.000000,-0.002363,0.000000,-0.002363,55.687383,24.268390
2023-12-11,2.680802,4.710000,-2.029198,-0.006214,1.076577,-0.002444,-1.000000,0.002444,0.000000,0.002444,55.823472,24.327697
2023-12-12,2.684653,4.730000,-2.045347,-0.016149,1.076658,0.000075,-1.000000,-0.000075,0.000000,-0.000075,55.819269,24.325865
2023-12-13,2.667652,4.460000,-1.792348,0.252999,1.079867,0.002981,-1.000000,-0.002981,0.000000,-0.002981,55.652898,24.253361
2023-12-14,2.579390,4.370000,-1.790610,0.001738,1.088613,0.008099,1.000000,0.008099,0.000459,0.007640,56.103641,24.438654
2023-12-15,2.566724,4.440000,-1.873276,-0.082666,1.099360,0.009872,1.000000,0.009872,0.000000,0.009872,56.657517,24.679921
2023-12-18,2.572223,4.430000,-1.857777,0.015499,1.089526,-0.008945,-1.000000,0.008945,0.000459,0.008486,57.164320,24.889358
2023-12-19,2.535022,4.410000,-1.874978,-0.017202,1.092383,0.002622,1.000000,0.002622,0.000458,0.002164,57.314186,24.943217
2023-12-20,2.514462,4.340000,-1.825538,0.049440,1.098105,0.005238,-1.000000,-0.005238,0.000455,-0.005693,57.013979,24.801210
2023-12-21,2.479051,4.330000,-1.850949,-0.025412,1.094571,-0.003218,1.000000,-0.003218,0.000457,-0.003675,56.830507,24.710070
2023-12-22,2.424385,4.310000,-1.885615,-0.034665,1.100619,0.005525,-1.000000,-0.005525,0.000454,-0.005979,56.516507,24.562316
2023-12-25,2.424385,4.310000,-1.885615,0.000000,1.102657,0.001852,-1.000000,-0.001852,0.000000,-0.001852,56.411813,24.516816
2023-12-26,2.424385,4.260000,-1.835615,0.050000,1.102026,-0.000573,0.000000,-0.000000,0.000227,-0.000227,56.411813,24.511254
2023-12-27,2.424210,4.200000,-1.775790,0.059825,1.104301,0.002065,1.000000,0.002065,0.000226,0.001839,56.528305,24.556321
2023-12-28,2.414324,4.260000,-1.845676,-0.069886,1.110864,0.005943,1.000000,0.005943,0.000000,0.005943,56.864263,24.702264
2023-12-29,2.436346,4.230000,-1.793654,0.052022,1.106819,-0.003641,-1.000000,0.003641,0.000452,0.003190,57.071330,24.781056
2024-01-01,2.436346,4.230000,-1.793654,0.000000,1.105583,-0.001117,1.000000,-0.001117,0.000452,-0.001569,57.007600,24.742176
2024-01-02,2.438198,4.330000,-1.891802,-0.098147,1.103875,-0.001545,0.000000,-0.000000,0.000226,-0.000226,57.007600,24.736573
2024-01-03,2.446464,4.330000,-1.883536,0.008266,1.094176,-0.008786,-1.000000,0.008786,0.000228,0.008558,57.508480,24.948262
2024-01-04,2.495168,4.380000,-1.884832,-0.001297,1.092777,-0.001279,1.000000,-0.001279,0.000458,-0.001736,57.434955,24.904950
2024-01-05,2.577542,4.400000,-1.822458,0.062374,1.094739,0.001795,-1.000000,-0.001795,0.000457,-0.002252,57.331837,24.848861
2024-01-08,2.562461,4.360000,-1.797539,0.024920,1.094224,-0.000471,1.000000,-0.000471,0.000457,-0.000927,57.304861,24.825815
2024-01-09,2.559966,4.360000,-1.800034,-0.002496,1.095170,0.000865,1.000000,0.000865,0.000000,0.000865,57.354437,24.847292
2024-01-10,2.578049,4.370000,-1.791951,0.008084,1.093243,-0.001760,-1.000000,0.001760,0.000457,0.001303,57.455387,24.879662
2024-01-11,2.564744,4.260000,-1.695256,0.096694,1.097514,0.003907,1.000000,0.003907,0.000456,0.003452,57.679876,24.965537
2024-01-12,2.525191,4.140000,-1.614809,0.080447,1.098165,0.000593,1.000000,0.000593,0.000000,0.000593,57.714077,24.980340
2024-01-15,2.554456,4.140000,-1.585544,0.029266,1.094571,-0.003273,1.000000,-0.003273,0.000000,-0.003273,57.525192,24.898585
2024-01-16,2.557911,4.220000,-1.662089,-0.076545,1.094571,0.000000,1.000000,0.000000,0.000000,0.000000,57.525192,24.898585
2024-01-17,2.666145,4.340000,-1.673855,-0.011766,1.087879,-0.006114,-1.000000,0.006114,0.000460,0.005654,57.876886,25.039365
2024-01-18,2.676813,4.340000,-1.663187,0.010668,1.088578,0.000642,-1.000000,-0.000642,0.000000,-0.000642,57.839722,25.023287
2024-01-19,2.660146,4.390000,-1.729854,-0.066667,1.087914,-0.000609,1.000000,-0.000609,0.000460,-0.001069,57.804486,24.996542
2024-01-22,2.644499,4.370000,-1.725501,0.004353,1.089230,0.001209,-1.000000,-0.001209,0.000459,-0.001668,57.734597,24.954845
2024-01-23,2.672123,4.310000,-1.637877,0.087623,1.088021,-0.001110,1.000000,-0.001110,0.000460,-0.001569,57.670525,24.915683
2024-01-24,2.663037,4.340000,-1.676963,-0.039085,1.085788,-0.002052,1.000000,-0.002052,0.000000,-0.002052,57.552176,24.864552
2024-01-25,2.595002,4.280000,-1.684998,-0.008035,1.088175,0.002198,-1.000000,-0.002198,0.000459,-0.002658,57.425670,24.798472
2024-01-26,2.587388,4.340000,-1.752612,-0.067614,1.084705,-0.003189,-1.000000,0.003189,0.000000,0.003189,57.608800,24.877554
2024-01-29,2.530534,4.290000,-1.759466,-0.006855,1.084352,-0.000325,-1.000000,0.000325,0.000000,0.000325,57.627540,24.885647
2024-01-30,2.522962,4.360000,-1.837038,-0.077572,1.083447,-0.000834,-1.000000,0.000834,0.000000,0.000834,57.675619,24.906409
2024-01-31,2.473733,4.270000,-1.796267,0.040771,1.084340,0.000824,-1.000000,-0.000824,0.000000,-0.000824,57.628088,24.885884
2024-02-01,2.471858,4.200000,-1.728142,0.068125,1.080392,-0.003641,1.000000,-0.003641,0.000463,-0.004104,57.418270,24.783760
2024-02-02,2.566561,4.360000,-1.793439,-0.065297,1.087465,0.006547,1.000000,0.006547,0.000000,0.006547,57.794160,24.946007
2024-02-05,2.622532,4.460000,-1.837468,-0.044029,1.078004,-0.008700,-1.000000,0.008700,0.000464,0.008236,58.296943,25.151455
2024-02-06,2.630444,4.390000,-1.759556,0.077911,1.074183,-0.003545,-1.000000,0.003545,0.000000,0.003545,58.503591,25.240611
2024-02-07,2.614264,4.410000,-1.795736,-0.036180,1.075720,0.001431,1.000000,0.001431,0.000465,0.000966,58.587292,25.264991
2024-02-08,2.670366,4.460000,-1.789634,0.006102,1.077575,0.001724,-1.000000,-0.001724,0.000464,-0.002188,58.486282,25.209708
2024-02-09,2.720092,4.480000,-1.759908,0.029726,1.077726,0.000140,1.000000,0.000140,0.000464,-0.000324,58.494473,25.201543
2024-02-12,2.715045,4.460000,-1.744955,0.014953,1.079820,0.001944,1.000000,0.001944,0.000000,0.001944,58.608167,25.250527
2024-02-13,2.757076,4.640000,-1.882924,-0.137969,1.077226,-0.002402,1.000000,-0.002402,0.000000,-0.002402,58.467382,25.189872
2024-02-14,2.782230,4.560000,-1.777770,0.105154,1.070893,-0.005879,-1.000000,0.005879,0.000467,0.005412,58.811124,25.326207
2024-02-15,2.761069,4.560000,-1.798931,-0.021161,1.073215,0.002168,1.000000,0.002168,0.000466,0.001702,58.938621,25.369313
2024-02-16,2.833961,4.640000,-1.806039,-0.007109,1.077389,0.003889,-1.000000,-0.003889,0.000464,-0.004353,58.709394,25.258872
2024-02-19,2.836764,4.640000,-1.803236,0.002803,1.078493,0.001025,-1.000000,-0.001025,0.000000,-0.001025,58.649235,25.232989
2024-02-20,2.795510,4.590000,-1.794490,0.008746,1.077540,-0.000884,1.000000,-0.000884,0.000464,-0.001348,58.597406,25.198982
2024-02-21,2.824517,4.640000,-1.815483,-0.020993,1.081315,0.003504,1.000000,0.003504,0.000000,0.003504,58.802706,25.287268
2024-02-22,2.870421,4.690000,-1.819579,-0.004096,1.082040,0.000671,-1.000000,-0.000671,0.000462,-0.001133,58.763259,25.258619
2024-02-23,2.850907,4.670000,-1.819093,0.000485,1.082567,0.000487,-1.000000,-0.000487,0.000000,-0.000487,58.734631,25.246314
2024-02-26,2.902963,4.690000,-1.787037,0.032057,1.082005,-0.000519,1.000000,-0.000519,0.000462,-0.000982,58.704123,25.221534
2024-02-27,2.906372,4.700000,-1.793628,-0.006591,1.085093,0.002854,1.000000,0.002854,0.000000,0.002854,58.871656,25.293513
2024-02-28,2.911383,4.640000,-1.728617,0.065011,1.084481,-0.000564,-1.000000,0.000564,0.000461,0.000103,58.904854,25.296114
2024-02-29,2.901244,4.640000,-1.738756,-0.010139,1.083882,-0.000553,1.000000,-0.000553,0.000461,-0.001014,58.872291,25.270461
2024-03-01,2.899745,4.540000,-1.640255,0.098501,1.080497,-0.003123,-1.000000,0.003123,0.000463,0.002660,59.056129,25.337678
2024-03-04,2.880491,4.610000,-1.729509,-0.089255,1.084269,0.003491,1.000000,0.003491,0.000461,0.003030,59.262314,25.414457
2024-03-05,2.852363,4.540000,-1.687637,0.041872,1.085517,0.001151,-1.000000,-0.001151,0.000461,-0.001611,59.194122,25.373507
2024-03-06,2.847330,4.550000,-1.702670,-0.015032,1.085600,0.000076,1.000000,0.000076,0.000461,-0.000385,59.198621,25.363748
2024-03-07,2.852953,4.500000,-1.647047,0.055622,1.089954,0.004011,-1.000000,-0.004011,0.000459,-0.004470,58.961174,25.250379
2024-03-08,2.774542,4.480000,-1.705458,-0.058411,1.095014,0.004643,1.000000,0.004643,0.000457,0.004186,59.234925,25.356084
2024-03-11,2.803950,4.510000,-1.706050,-0.000592,1.094296,-0.000657,-1.000000,0.000657,0.000457,0.000200,59.273817,25.361147
2024-03-12,2.842024,4.580000,-1.737976,-0.031927,1.093135,-0.001060,-1.000000,0.001060,0.000000,0.001060,59.336671,25.388039
2024-03-13,2.838959,4.610000,-1.771041,-0.033064,1.092777,-0.000328,-1.000000,0.000328,0.000000,0.000328,59.356122,25.396362
2024-03-14,2.871925,4.680000,-1.808075,-0.037034,1.095530,0.002520,-1.000000,-0.002520,0.000000,-0.002520,59.206561,25.332370
2024-03-15,2.904404,4.720000,-1.815596,-0.007521,1.088341,-0.006563,-1.000000,0.006563,0.000000,0.006563,59.595115,25.498619
2024-03-18,2.901567,4.730000,-1.828433,-0.012836,1.088258,-0.000076,-1.000000,0.000076,0.000000,0.000076,59.599659,25.500563
2024-03-19,2.879970,4.680000,-1.800030,0.028402,1.087394,-0.000794,-1.000000,0.000794,0.000000,0.000794,59.646965,25.520803
2024-03-20,2.888837,4.590000,-1.701163,0.098867,1.086331,-0.000978,1.000000,-0.000978,0.000460,-0.001438,59.588644,25.484103
