instr,side,entry_date,exit_date,entry_close,exit_close,pnl_pct,duration_days,exit_reason
GOLD,long,2024-01-31,2024-02-12,2048.399902,2018.199951,-0.014743,12,reversion
GOLD,short,2024-02-13,2024-02-23,1992.900024,2038.599976,-0.022931,10,stop
GOLD,long,2024-03-01,2024-04-23,2086.899902,2327.699951,0.115386,53,reversion
GOLD,long,2024-05-17,2024-05-23,2412.199951,2335.000000,-0.032004,6,stop
GOLD,short,2024-06-07,2024-07-03,2305.199951,2359.800049,-0.023686,26,reversion
GOLD,long,2024-07-05,2024-07-25,2388.500000,2351.899902,-0.015323,20,reversion
GOLD,long,2024-08-13,2024-10-08,2466.699951,2615.000000,0.060121,56,reversion
GOLD,long,2024-10-16,2024-11-06,2674.000000,2667.600098,-0.002393,21,reversion
GOLD,short,2024-11-11,2024-11-21,2611.199951,2672.100098,-0.023323,10,stop
GOLD,long,2024-12-11,2024-12-13,2733.800049,2656.000000,-0.028459,2,stop
SILVER,short,2010-02-04,2010-02-16,15.343000,16.150000,-0.052597,12,stop
SILVER,long,2010-03-02,2010-03-22,17.044001,16.920000,-0.007275,20,reversion
SILVER,long,2010-03-31,2010-04-16,17.511999,17.669001,0.008965,16,reversion
SILVER,long,2010-04-29,2010-05-04,18.549000,17.818001,-0.039409,5,stop
SILVER,short,2010-05-05,2010-05-07,17.511000,18.429001,-0.052424,2,stop
SILVER,long,2010-05-11,2010-05-19,19.271999,18.091000,-0.061281,8,stop
SILVER,short,2010-06-04,2010-06-07,17.290001,18.153000,-0.049913,3,stop
SILVER,long,2010-06-17,2010-07-01,18.767000,17.760000,-0.053658,14,stop
SILVER,short,2010-07-19,2010-08-02,17.534000,18.403000,-0.049561,14,stop
SILVER,long,2010-08-03,2011-01-05,18.407000,29.173000,0.584886,155,reversion
SILVER,short,2011-01-14,2011-02-03,28.309000,28.733000,-0.014978,20,reversion
SILVER,long,2011-02-08,2011-03-15,30.271000,34.116001,0.127019,35,reversion
SILVER,long,2011-03-22,2011-05-03,36.271000,42.576000,0.173830,42,reversion
SILVER,short,2011-05-04,2011-05-25,39.382999,37.639999,0.044258,21,reversion
SILVER,short,2011-06-24,2011-07-07,34.640999,36.528000,-0.054473,13,reversion
SILVER,long,2011-07-13,2011-08-05,38.147999,38.196999,0.001284,23,reversion
SILVER,long,2011-08-19,2011-08-24,42.428001,39.157001,-0.077095,5,stop
SILVER,short,2011-09-19,2011-10-12,39.110001,32.754002,0.162516,23,reversion
SILVER,long,2011-10-25,2011-11-16,33.034000,33.813999,0.023612,22,reversion
SILVER,short,2011-11-21,2012-01-03,31.113001,29.533001,0.050783,43,reversion
SILVER,long,2012-01-11,2012-02-17,29.858000,33.200001,0.111930,37,reversion
SILVER,long,2012-02-21,2012-03-06,34.412998,32.741001,-0.048586,14,stop
SILVER,short,2012-03-14,2012-04-02,32.146999,33.083000,-0.029116,19,reversion
SILVER,short,2012-04-04,2012-06-06,31.028999,29.476000,0.050050,63,reversion
SILVER,short,2012-06-21,2012-07-03,26.833000,28.243000,-0.052547,12,stop
SILVER,long,2012-08-07,2012-10-12,28.075001,33.632999,0.197970,66,reversion
SILVER,short,2012-10-15,2012-11-09,32.707001,32.590000,0.003577,25,reversion
SILVER,long,2012-11-19,2012-12-04,33.181000,32.734001,-0.013472,15,reversion
SILVER,short,2012-12-13,2013-01-14,32.279999,31.080000,0.037175,32,reversion
SILVER,long,2013-01-16,2013-01-28,31.514000,30.756001,-0.024053,12,reversion
SILVER,short,2013-02-14,2013-03-21,30.343000,29.179001,0.038361,35,reversion
SILVER,short,2013-03-28,2013-04-30,28.292000,24.143999,0.146614,33,reversion
SILVER,short,2013-05-15,2013-05-30,22.643000,22.674000,-0.001369,15,reversion
SILVER,short,2013-06-07,2013-07-11,21.737000,19.943001,0.082532,34,reversion
SILVER,long,2013-07-22,2013-08-06,20.497999,19.514999,-0.047956,15,reversion
SILVER,long,2013-08-12,2013-09-10,21.332001,22.966000,0.076598,29,reversion
SILVER,short,2013-09-12,2013-10-07,22.099001,22.339001,-0.010860,25,reversion
SILVER,long,2013-10-22,2013-10-31,22.754000,21.832001,-0.040520,9,stop
SILVER,short,2013-11-12,2013-12-10,20.768000,20.256001,0.024653,28,reversion
SILVER,long,2014-01-10,2014-01-24,20.201000,19.743000,-0.022672,14,reversion
SILVER,short,2014-01-30,2014-02-05,19.111000,19.785000,-0.035268,6,stop
SILVER,long,2014-02-12,2014-02-28,20.330999,21.204000,0.042939,16,reversion
SILVER,short,2014-03-20,2014-04-08,20.403999,20.042000,0.017742,19,reversion
SILVER,short,2014-04-15,2014-05-14,19.478001,19.735001,-0.013194,29,reversion
SILVER,short,2014-05-29,2014-06-10,18.983000,19.146999,-0.008639,12,reversion
SILVER,long,2014-06-12,2014-07-14,19.514999,20.864000,0.069126,32,reversion
SILVER,short,2014-07-24,2014-10-15,20.375999,17.415001,0.145318,83,reversion
SILVER,short,2014-10-30,2014-11-14,16.391001,16.309999,0.004942,15,reversion
SILVER,long,2014-12-01,2014-12-16,16.648001,15.715000,-0.056043,15,stop
SILVER,short,2014-12-31,2015-01-06,15.565000,16.603001,-0.066688,6,stop
SILVER,long,2015-01-13,2015-01-29,17.125000,16.757999,-0.021431,16,reversion
SILVER,short,2015-02-17,2015-03-20,16.362000,16.867001,-0.030864,31,reversion
SILVER,long,2015-03-23,2015-04-08,16.872000,16.440001,-0.025605,16,reversion
SILVER,short,2015-04-20,2015-04-27,15.883000,16.389999,-0.031921,7,stop
SILVER,long,2015-05-13,2015-05-27,17.207001,16.638000,-0.033068,14,reversion
SILVER,short,2015-06-04,2015-06-18,16.089001,16.148001,-0.003667,14,reversion
SILVER,short,2015-06-23,2015-08-07,15.732000,14.816000,0.058225,45,reversion
SILVER,long,2015-08-12,2015-08-18,15.473000,14.787000,-0.044335,6,stop
SILVER,long,2015-08-20,2015-08-24,15.517000,14.762000,-0.048656,4,stop
SILVER,short,2015-08-26,2015-08-31,14.045000,14.577000,-0.037878,5,stop
SILVER,long,2015-09-21,2015-09-28,15.216000,14.538000,-0.044558,7,stop
SILVER,long,2015-10-02,2015-10-21,15.257000,15.696000,0.028774,19,reversion
SILVER,long,2015-10-28,2015-10-29,16.288000,15.544000,-0.045678,1,stop
SILVER,short,2015-11-02,2015-12-04,15.413000,14.505000,0.058911,32,reversion
SILVER,short,2015-12-11,2015-12-21,13.859000,14.301000,-0.031893,10,stop
SILVER,long,2016-01-26,2016-02-22,14.544000,15.179000,0.043661,27,reversion
SILVER,long,2016-03-17,2016-03-23,16.021999,15.263000,-0.047372,6,stop
SILVER,short,2016-04-01,2016-04-11,15.042000,15.974000,-0.061960,10,stop
SILVER,long,2016-04-12,2016-05-19,16.219999,16.479000,0.015968,37,reversion
SILVER,short,2016-05-23,2016-06-06,16.410000,16.427999,-0.001097,14,reversion
SILVER,long,2016-06-09,2016-07-20,17.253000,19.582001,0.134991,41,reversion
SILVER,long,2016-08-01,2016-08-12,20.465000,19.672001,-0.038749,11,reversion
SILVER,short,2016-08-19,2016-09-06,19.301001,20.049000,-0.038754,18,stop
SILVER,short,2016-10-04,2016-10-25,17.712999,17.736000,-0.001299,21,reversion
SILVER,long,2016-11-01,2016-11-14,18.385000,16.877001,-0.082023,13,stop
SILVER,short,2016-11-17,2016-12-02,16.761000,16.753000,0.000477,15,reversion
SILVER,short,2016-12-15,2016-12-29,15.897000,16.163000,-0.016733,14,reversion
SILVER,long,2017-01-17,2017-03-02,17.101999,17.705000,0.035259,44,reversion
SILVER,short,2017-03-07,2017-03-21,17.492001,17.549999,-0.003316,14,reversion
SILVER,long,2017-03-31,2017-04-10,18.235001,17.893999,-0.018700,10,reversion
SILVER,long,2017-04-13,2017-04-19,18.489000,18.136000,-0.019092,6,stop
SILVER,short,2017-04-25,2017-05-17,17.580999,16.851999,0.041465,22,reversion
SILVER,long,2017-05-26,2017-06-09,17.283001,17.193001,-0.005207,14,reversion
SILVER,short,2017-06-16,2017-07-17,16.636000,16.049999,0.035225,31,reversion
SILVER,long,2017-07-28,2017-08-04,16.664000,16.222000,-0.026524,7,reversion
SILVER,long,2017-08-09,2017-09-15,16.834000,17.611000,0.046157,37,reversion
SILVER,short,2017-09-21,2017-10-10,16.937000,17.155001,-0.012871,19,reversion
SILVER,long,2017-11-17,2017-11-20,17.358000,16.827000,-0.030591,3,stop
SILVER,short,2017-11-29,2017-12-20,16.457001,16.188000,0.016346,21,reversion
SILVER,long,2017-12-27,2018-01-18,16.618999,16.893000,0.016487,22,reversion
SILVER,long,2018-01-24,2018-01-30,17.424999,17.013000,-0.023644,6,stop
SILVER,short,2018-02-02,2018-03-06,16.676001,16.715000,-0.002339,32,reversion
SILVER,short,2018-03-20,2018-03-26,16.125000,16.632000,-0.031442,6,stop
SILVER,long,2018-04-11,2018-04-27,16.738001,16.406000,-0.019835,16,reversion
SILVER,short,2018-05-01,2018-05-04,16.039000,16.434000,-0.024627,3,stop
SILVER,long,2018-06-07,2018-06-15,16.766001,16.452000,-0.018728,8,stop
SILVER,short,2018-06-19,2018-09-20,16.302999,14.215000,0.128075,93,reversion
SILVER,long,2018-09-28,2018-10-08,14.623000,14.259000,-0.024892,10,stop
SILVER,long,2018-10-15,2018-10-29,14.656000,14.377000,-0.019037,14,reversion
SILVER,short,2018-10-31,2018-11-01,14.229000,14.729000,-0.035140,1,stop
SILVER,short,2018-11-09,2018-11-19,14.103000,14.381000,-0.019712,10,stop
SILVER,long,2018-12-07,2019-01-17,14.572000,15.467000,0.061419,41,reversion
SILVER,long,2019-01-28,2019-02-13,15.709000,15.624000,-0.005411,16,reversion
SILVER,long,2019-02-20,2019-02-21,16.157000,15.791000,-0.022653,1,stop
SILVER,short,2019-03-01,2019-03-25,15.169000,15.507000,-0.022282,24,stop
SILVER,short,2019-03-28,2019-04-26,14.921000,15.002000,-0.005429,29,reversion
SILVER,short,2019-05-01,2019-05-03,14.645000,14.907000,-0.017890,2,stop
SILVER,short,2019-05-16,2019-06-03,14.479000,14.703000,-0.015471,18,reversion
SILVER,long,2019-06-06,2019-06-10,14.868000,14.605000,-0.017689,4,stop
SILVER,long,2019-06-20,2019-07-01,15.469000,15.106000,-0.023466,11,stop
SILVER,long,2019-07-16,2019-09-13,15.600000,17.436001,0.117692,59,reversion
SILVER,short,2019-09-30,2019-10-24,16.898001,17.739000,-0.049769,24,reversion
SILVER,long,2019-10-25,2019-11-07,17.861000,16.969999,-0.049885,13,stop
SILVER,short,2019-11-08,2019-12-03,16.783001,17.125000,-0.020378,25,reversion
SILVER,short,2019-12-06,2019-12-12,16.481001,16.844999,-0.022086,6,stop
SILVER,long,2019-12-20,2020-01-14,17.128000,17.674000,0.031878,25,reversion
SILVER,short,2020-01-28,2020-01-30,17.402000,17.952000,-0.031606,2,stop
SILVER,long,2020-02-18,2020-02-27,18.131001,17.658001,-0.026088,9,stop
SILVER,short,2020-02-28,2020-03-03,16.386999,17.129000,-0.045280,4,stop
SILVER,short,2020-03-12,2020-04-06,15.961000,15.111000,0.053255,25,reversion
SILVER,long,2020-04-09,2020-04-21,15.995000,14.818000,-0.073585,12,reversion
SILVER,short,2020-05-04,2020-05-07,14.722000,15.562000,-0.057057,3,reversion
SILVER,long,2020-05-14,2020-06-05,16.136000,17.443001,0.080999,22,reversion
SILVER,long,2020-06-30,2020-09-21,18.541000,24.299000,0.310555,83,reversion
SILVER,short,2020-09-23,2020-10-05,23.014000,24.502001,-0.064656,12,reversion
SILVER,short,2020-10-28,2020-11-05,23.323999,25.171000,-0.079189,8,stop
SILVER,long,2020-11-06,2020-11-09,25.646000,23.684999,-0.076464,3,stop
SILVER,short,2020-11-24,2020-12-07,23.292000,24.740999,-0.062210,13,stop
SILVER,long,2020-12-16,2021-01-08,24.985001,24.582001,-0.016130,23,reversion
SILVER,long,2021-02-01,2021-02-02,29.398001,26.384001,-0.102524,1,stop
SILVER,short,2021-03-04,2021-03-18,25.434000,26.320999,-0.034875,14,reversion
SILVER,short,2021-03-23,2021-04-06,25.200001,25.212000,-0.000476,14,reversion
SILVER,long,2021-04-21,2021-06-03,26.565001,27.459999,0.033691,43,reversion
SILVER,short,2021-06-17,2021-07-02,25.844000,26.481001,-0.024648,15,reversion
SILVER,short,2021-07-16,2021-08-24,25.777000,23.889999,0.073205,39,reversion
SILVER,long,2021-09-03,2021-09-08,24.761999,24.011999,-0.030288,5,stop
SILVER,short,2021-09-16,2021-10-08,22.752001,22.679001,0.003209,22,reversion
SILVER,long,2021-10-14,2021-11-02,23.455999,23.500000,0.001876,19,reversion
SILVER,long,2021-11-10,2021-11-22,24.767000,24.297001,-0.018977,12,reversion
SILVER,short,2021-11-26,2021-12-17,23.107000,22.507000,0.025966,21,reversion
SILVER,long,2021-12-27,2022-01-06,22.979000,22.174000,-0.035032,10,stop
