date,gb_2y_pct,us_2y_pct,rate_diff_pp,d_diff_pp,gbpusd_close,gbpusd_return,position,gross_return,cost,net_return,cum_gross,cum_net
2022-06-24,1.933000,3.070000,-1.137000,-0.054000,1.226076,0.000809,-1.000000,-0.000809,0.000000,-0.000809,8.122536,4.271278
2022-06-27,2.014000,3.125000,-1.111000,0.026000,1.228245,0.001769,-1.000000,-0.001769,0.000000,-0.001769,8.108171,4.263724
2022-06-28,2.118000,3.114000,-0.996000,0.115000,1.226738,-0.001227,1.000000,-0.001227,0.000408,-0.001634,8.098225,4.256756
2022-06-29,2.041000,3.043000,-1.002000,-0.006000,1.218977,-0.006327,1.000000,-0.006327,0.000000,-0.006327,8.046991,4.229826
2022-06-30,1.852000,2.957000,-1.105000,-0.103000,1.213180,-0.004756,-1.000000,0.004756,0.000412,0.004344,8.085260,4.248198
2022-07-01,1.702000,2.839000,-1.137000,-0.032000,1.216086,0.002396,-1.000000,-0.002396,0.000000,-0.002396,8.065890,4.238020
2022-07-04,1.806000,2.885750,-1.079750,0.057250,1.210273,-0.004781,-1.000000,0.004781,0.000000,0.004781,8.104449,4.258281
2022-07-05,1.687000,2.824000,-1.137000,-0.057250,1.211446,0.000969,1.000000,0.000969,0.000413,0.000556,8.112303,4.260650
2022-07-06,1.750000,3.006000,-1.256000,-0.119000,1.194914,-0.013646,-1.000000,0.013646,0.000418,0.013227,8.223003,4.317007
2022-07-07,1.844000,3.018000,-1.174000,0.082000,1.192321,-0.002170,-1.000000,0.002170,0.000000,0.002170,8.240847,4.326375
2022-07-08,1.935000,3.111000,-1.176000,-0.002000,1.202805,0.008793,1.000000,0.008793,0.000416,0.008377,8.313305,4.362617
2022-07-11,1.878000,3.078000,-1.200000,-0.024000,1.201663,-0.000949,-1.000000,0.000949,0.000416,0.000533,8.321197,4.364943
2022-07-12,1.793000,3.053000,-1.260000,-0.060000,1.190094,-0.009628,-1.000000,0.009628,0.000000,0.009628,8.401312,4.406968
2022-07-13,1.800000,3.159000,-1.359000,-0.099000,1.187775,-0.001948,-1.000000,0.001948,0.000000,0.001948,8.417678,4.415553
2022-07-14,1.955000,3.138000,-1.183000,0.176000,1.186380,-0.001174,-1.000000,0.001174,0.000000,0.001174,8.427564,4.420739
2022-07-15,1.927000,3.128000,-1.201000,-0.018000,1.183964,-0.002036,1.000000,-0.002036,0.000422,-0.002459,8.410402,4.409869
2022-07-18,1.988000,3.181000,-1.193000,0.008000,1.188834,0.004113,-1.000000,-0.004113,0.000421,-0.004534,8.375807,4.389875
